Zona,CX,CY,CZ
Inicio,12.29,0,1.66
Inicio,12.29,15,1.66
Inicio,12.29,-0.01,3.70
Inicio,12.29,15.01,3.70
Inicio,12.29,17.5,3.70
Inicio,12.29,-2.5,3.70
Entrega,-7.50,0,0.14
Entrega,-7.50,15,0.14
Entrega,-7.50,-0.01,2.76
Entrega,-7.50,15.01,2.76
Entrega,-7.50,17.5,2.76
Entrega,-7.50,-2.5,2.76
Escalones,0.44,0,0.15
Escalones,0.45,0,0.30
Escalones,0.87,0,0.30
Escalones,0.87,0,0.30
Escalones,0.88,0,0.45
Escalones,1.31,0,0.45
Escalones,1.31,0,0.45
Escalones,1.32,0,0.60
Escalones,1.74,0,0.60
Escalones,1.74,0,0.60
Escalones,1.75,0,0.75
Escalones,2.18,0,0.75
Escalones,2.18,0,0.75
Escalones,2.19,0,0.90
Escalones,2.61,0,0.90
Escalones,2.61,0,0.90
Escalones,2.62,0,1.05
Escalones,3.05,0,1.05
Escalones,3.05,0,1.05
Escalones,3.06,0,1.20
Escalones,3.49,0,1.20
Escalones,3.49,0,1.20
Escalones,3.50,0,1.35
Escalones,3.92,0,1.35
Escalones,3.92,0,1.35
Escalones,3.93,0,1.50
Escalones,4.36,0,1.50
Escalones,4.36,0,1.50
Escalones,4.37,0,1.65
Escalones,4.79,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,4.51,0,1.65
Escalones,0.44,15,0.15
Escalones,0.45,15,0.30
Escalones,0.87,15,0.30
Escalones,0.87,15,0.30
Escalones,0.88,15,0.45
Escalones,1.31,15,0.45
Escalones,1.31,15,0.45
Escalones,1.32,15,0.60
Escalones,1.74,15,0.60
Escalones,1.74,15,0.60
Escalones,1.75,15,0.75
Escalones,2.18,15,0.75
Escalones,2.18,15,0.75
Escalones,2.19,15,0.90
Escalones,2.61,15,0.90
Escalones,2.61,15,0.90
Escalones,2.62,15,1.05
Escalones,3.05,15,1.05
Escalones,3.05,15,1.05
Escalones,3.06,15,1.20
Escalones,3.49,15,1.20
Escalones,3.49,15,1.20
Escalones,3.50,15,1.35
Escalones,3.92,15,1.35
Escalones,3.92,15,1.35
Escalones,3.93,15,1.50
Escalones,4.36,15,1.50
Escalones,4.36,15,1.50
Escalones,4.37,15,1.65
Escalones,4.79,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Escalones,4.51,15,1.65
Muro,0.44,-0.01,2.76
Muro,0.45,-0.01,2.76
Muro,0.87,-0.01,2.76
Muro,0.87,-0.01,2.76
Muro,0.88,-0.01,2.76
Muro,1.31,-0.01,2.76
Muro,1.31,-0.01,2.76
Muro,1.32,-0.01,2.76
Muro,1.74,-0.01,2.79
Muro,1.74,-0.01,2.79
Muro,1.75,-0.01,2.79
Muro,2.18,-0.01,2.94
Muro,2.18,-0.01,2.94
