LineID,CulvertGroup,LineField,SortField,CXm,Cym,CZBateam,CZClavem,CZEjem,Lengthm,Diameterm,River,Reach,RS,Connection,Barrel,
1,AlcCentral,1,0,1078769.37,1572726.99,69.09,71.09,70.09,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A1,
2,AlcCentral,1,1,1078710.12,1572710.91,68.54,70.54,69.54,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A2,
3,AlcCentral,2,0,1078767.80,1572732.78,69.09,71.09,70.09,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A2,
4,AlcCentral,2,1,1078708.55,1572716.70,68.54,70.54,69.54,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A3,
5,AlcCentral,3,0,1078766.23,1572738.57,69.09,71.09,70.09,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A3,
6,AlcCentral,3,1,1078706.98,1572722.49,68.54,70.54,69.54,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A4,
7,AlcCentral,4,0,1078764.66,1572744.36,69.09,71.09,70.09,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A4,
8,AlcCentral,4,1,1078705.41,1572728.28,68.54,70.54,69.54,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A5,
9,AlcCentral,5,0,1078763.09,1572750.15,69.09,71.09,70.09,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A5,
10,AlcCentral,5,1,1078703.83,1572734.07,68.54,70.54,69.54,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A6,
11,AlcCentral,6,0,1078761.52,1572755.94,69.09,71.09,70.09,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A6,
12,AlcCentral,6,1,1078702.26,1572739.86,68.54,70.54,69.54,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A7,
13,AlcCentral,7,0,1078759.95,1572761.73,69.09,71.09,70.09,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A7,
14,AlcCentral,7,1,1078700.69,1572745.65,68.54,70.54,69.54,61.40,2.00,ARROYOELZORRO,ARRIBALAT1,7848.612,,A8,
15,AlcSecundIzq,8,0,1078803.35,1572601.77,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A8,
16,AlcSecundIzq,8,1,1078744.10,1572585.69,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A9,
17,AlcSecundIzq,9,0,1078802.77,1572603.91,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A9,
18,AlcSecundIzq,9,1,1078743.52,1572587.83,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A10,
19,AlcSecundIzq,10,0,1078802.19,1572606.04,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A10,
20,AlcSecundIzq,10,1,1078742.94,1572589.96,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A11,
21,AlcSecundIzq,11,0,1078801.61,1572608.18,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A11,
22,AlcSecundIzq,11,1,1078742.36,1572592.10,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A12,
23,AlcSecundIzq,12,0,1078801.03,1572610.32,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A12,
24,AlcSecundIzq,12,1,1078741.78,1572594.24,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A13,
25,AlcSecundIzq,13,0,1078800.45,1572612.45,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A13,
26,AlcSecundIzq,13,1,1078741.20,1572596.38,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A14,
27,AlcSecundIzq,14,0,1078799.87,1572614.59,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A14,
28,AlcSecundIzq,14,1,1078740.62,1572598.51,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A15,
29,AlcSecundIzq,15,0,1078799.29,1572616.73,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A15,
30,AlcSecundIzq,15,1,1078740.04,1572600.65,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A16,
31,AlcSecundIzq,16,0,1078798.71,1572618.87,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A16,
32,AlcSecundIzq,16,1,1078739.46,1572602.79,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A17,
33,AlcSecundIzq,17,0,1078798.13,1572621.00,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A17,
34,AlcSecundIzq,17,1,1078738.88,1572604.92,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A18,
35,AlcSecundIzq,18,0,1078797.55,1572623.14,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A18,
36,AlcSecundIzq,18,1,1078738.30,1572607.06,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A19,
37,AlcSecundIzq,19,0,1078796.97,1572625.28,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A19,
38,AlcSecundIzq,19,1,1078737.72,1572609.20,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A20,
39,AlcSecundIzq,20,0,1078796.39,1572627.41,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A20,
40,AlcSecundIzq,20,1,1078737.14,1572611.34,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A21,
41,AlcSecundIzq,21,0,1078795.81,1572629.55,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A21,
42,AlcSecundIzq,21,1,1078736.56,1572613.47,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A22,
43,AlcSecundIzq,22,0,1078795.23,1572631.69,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A22,
44,AlcSecundIzq,22,1,1078735.98,1572615.61,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A23,
45,AlcSecundIzq,23,0,1078794.65,1572633.83,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A23,
46,AlcSecundIzq,23,1,1078735.40,1572617.75,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A24,
47,AlcSecundIzq,24,0,1078794.07,1572635.96,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A24,
48,AlcSecundIzq,24,1,1078734.82,1572619.88,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A25,
49,AlcSecundIzq,25,0,1078793.49,1572638.10,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A25,
50,AlcSecundIzq,25,1,1078734.24,1572622.02,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A26,
51,AlcSecundIzq,26,0,1078792.91,1572640.24,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A26,
52,AlcSecundIzq,26,1,1078733.66,1572624.16,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A27,
53,AlcSecundIzq,27,0,1078792.33,1572642.37,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A27,
54,AlcSecundIzq,27,1,1078733.08,1572626.30,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A28,
55,AlcSecundIzq,28,0,1078791.75,1572644.51,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A28,
56,AlcSecundIzq,28,1,1078732.50,1572628.43,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A29,
57,AlcSecundIzq,29,0,1078791.17,1572646.65,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A29,
58,AlcSecundIzq,29,1,1078731.92,1572630.57,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A30,
59,AlcSecundIzq,30,0,1078790.59,1572648.79,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A30,
60,AlcSecundIzq,30,1,1078731.34,1572632.71,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A31,
61,AlcSecundIzq,31,0,1078790.01,1572650.92,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A31,
62,AlcSecundIzq,31,1,1078730.76,1572634.84,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A32,
63,AlcSecundIzq,32,0,1078789.43,1572653.06,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A32,
64,AlcSecundIzq,32,1,1078730.18,1572636.98,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A33,
65,AlcSecundIzq,33,0,1078788.85,1572655.20,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A33,
66,AlcSecundIzq,33,1,1078729.60,1572639.12,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A34,
67,AlcSecundIzq,34,0,1078788.27,1572657.33,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A34,
68,AlcSecundIzq,34,1,1078729.02,1572641.26,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A35,
69,AlcSecundIzq,35,0,1078787.69,1572659.47,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A35,
70,AlcSecundIzq,35,1,1078728.44,1572643.39,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A36,
71,AlcSecundIzq,36,0,1078787.11,1572661.61,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A36,
72,AlcSecundIzq,36,1,1078727.86,1572645.53,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A37,
73,AlcSecundIzq,37,0,1078786.53,1572663.75,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A37,
74,AlcSecundIzq,37,1,1078727.28,1572647.67,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A38,
75,AlcSecundIzq,38,0,1078785.95,1572665.88,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A38,
76,AlcSecundIzq,38,1,1078726.70,1572649.80,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A39,
77,AlcSecundIzq,39,0,1078785.37,1572668.02,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A39,
78,AlcSecundIzq,39,1,1078726.12,1572651.94,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A40,
79,AlcSecundIzq,40,0,1078784.79,1572670.16,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A40,
80,AlcSecundIzq,40,1,1078725.54,1572654.08,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A41,
81,AlcSecundIzq,41,0,1078784.21,1572672.29,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A41,
82,AlcSecundIzq,41,1,1078724.96,1572656.22,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A42,
83,AlcSecundIzq,42,0,1078783.63,1572674.43,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A42,
84,AlcSecundIzq,42,1,1078724.38,1572658.35,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A43,
85,AlcSecundIzq,43,0,1078783.05,1572676.57,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A43,
86,AlcSecundIzq,43,1,1078723.80,1572660.49,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A44,
87,AlcSecundIzq,44,0,1078782.47,1572678.71,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A44,
88,AlcSecundIzq,44,1,1078723.22,1572662.63,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A45,
89,AlcSecundIzq,45,0,1078781.90,1572680.84,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A45,
90,AlcSecundIzq,45,1,1078722.64,1572664.76,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A46,
91,AlcSecundIzq,46,0,1078781.32,1572682.98,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A46,
92,AlcSecundIzq,46,1,1078722.06,1572666.90,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A47,
93,AlcSecundIzq,47,0,1078780.74,1572685.12,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A47,
94,AlcSecundIzq,47,1,1078721.48,1572669.04,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A48,
95,AlcSecundIzq,48,0,1078780.16,1572687.25,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A48,
96,AlcSecundIzq,48,1,1078720.90,1572671.18,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A49,
97,AlcSecundIzq,49,0,1078779.58,1572689.39,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A49,
98,AlcSecundIzq,49,1,1078720.32,1572673.31,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A50,
99,AlcSecundIzq,50,0,1078779.00,1572691.53,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A50,
100,AlcSecundIzq,50,1,1078719.74,1572675.45,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A51,
101,AlcSecundIzq,51,0,1078778.42,1572693.66,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A51,
102,AlcSecundIzq,51,1,1078719.16,1572677.59,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A52,
103,AlcSecundIzq,52,0,1078777.84,1572695.80,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A52,
